시도교육청코드,시도교육청명,행정표준코드,학교명,학교과정명,분석단위ID,학교표시명,분석일수,휴업일수,수업일수,평균기억점수,평균위험점수,최대위험점수,최저기억점수,고위험일수,휴업일비율,고위험일비율,최종위험지수,위험등급,방학일수,추론방학일수,위험백분위,상대위험등급
R10,경상북도교육청,8891014,석보초등학교,초등학교,R10_8891014_초등학교,석보초등학교 (초등학교),304,116,188,74.2677035439472,25.73229645605279,79.67199561844602,20.32800438155398,21,38.15789473684211,6.907894736842106,20.08497594028958,낮음,61,0,99.39034045922406,상위 5%
R10,경상북도교육청,8961035,석포초등학교,초등학교,R10_8961035_초등학교,석포초등학교 (초등학교),306,117,189,74.42563052206576,25.574369477934244,79.67199561844602,20.32800438155398,22,38.23529411764706,7.18954248366013,20.05892137965201,낮음,59,0,99.38242280285036,상위 5%
R10,경상북도교육청,8750159,대가야고등학교,고등학교,R10_8750159_고등학교,대가야고등학교 (고등학교),306,118,188,74.30964050358473,25.69035949641526,79.67199561844602,20.32800438155398,21,38.56209150326798,6.862745098039216,20.042075176902447,낮음,59,0,99.37450514647665,상위 5%
R10,경상북도교육청,8841039,문경초등학교,초등학교,R10_8841039_초등학교,문경초등학교 (초등학교),303,116,187,74.34244834131644,25.65755165868356,79.67199561844602,20.32800438155398,21,38.28382838283829,6.9306930693069315,20.03949408187057,낮음,62,0,99.36658749010293,상위 5%
R10,경상북도교육청,8811038,봉현초등학교,초등학교,R10_8811038_초등학교,봉현초등학교 (초등학교),324,134,190,74.17390363973581,25.826096360264188,80.81736173787954,19.18263826212047,21,41.358024691358025,6.481481481481481,20.022711896629374,낮음,41,0,99.35866983372922,상위 5%
R10,경상북도교육청,8851060,경산초등학교,초등학교,R10_8851060_초등학교,경산초등학교 (초등학교),305,117,188,74.38703266872258,25.612967331277424,79.67199561844602,20.32800438155398,21,38.36065573770492,6.885245901639345,19.994650902386,매우 낮음,60,0,99.3507521773555,상위 5%
R10,경상북도교육청,8951018,감천초등학교,초등학교,R10_8951018_초등학교,감천초등학교 (초등학교),304,116,188,74.40404140556828,25.59595859443173,80.81736173787954,19.18263826212047,21,38.15789473684211,6.907894736842106,19.98953943715484,매우 낮음,61,0,99.3428345209818,상위 5%
R10,경상북도교육청,8750081,경산고등학교,고등학교,R10_8750081_고등학교,경산고등학교 (고등학교),308,120,188,74.22867252495344,25.77132747504656,80.23328501909214,19.766714980907867,20,38.961038961038966,6.493506493506493,19.98798118058454,매우 낮음,57,0,99.33491686460808,상위 5%
Q10,전라남도교육청,8511008,여수문수중학교,중학교,Q10_8511008_중학교,여수문수중학교 (중학교),304,116,188,74.4422356900644,25.55776430993561,79.67199561844602,20.32800438155398,21,38.15789473684211,6.907894736842106,19.962803438007555,매우 낮음,61,0,99.32699920823437,상위 5%
R10,경상북도교육청,8831068,청리초등학교,초등학교,R10_8831068_초등학교,청리초등학교 (초등학교),303,115,188,74.31239244286441,25.687607557135582,79.67199561844602,20.32800438155398,20,37.95379537953795,6.6006600660066,19.961523309796885,매우 낮음,62,0,99.31908155186065,상위 5%
D10,대구광역시교육청,7240102,정화여자고등학교,고등학교,D10_7240102_고등학교,정화여자고등학교 (고등학교),305,117,188,74.44630845920383,25.553691540796166,79.67199561844602,20.32800438155398,21,38.36065573770492,6.885245901639345,19.953157849049116,매우 낮음,60,0,99.31116389548693,상위 5%
