분석단위ID,detail_file
B10_7031131_초등학교,details/detail_part_000.parquet
B10_7031132_초등학교,details/detail_part_000.parquet
B10_7031133_초등학교,details/detail_part_000.parquet
B10_7031134_초등학교,details/detail_part_000.parquet
B10_7031135_초등학교,details/detail_part_000.parquet
B10_7031136_초등학교,details/detail_part_000.parquet
B10_7031137_초등학교,details/detail_part_000.parquet
B10_7031138_초등학교,details/detail_part_000.parquet
B10_7031139_초등학교,details/detail_part_000.parquet
B10_7031140_초등학교,details/detail_part_000.parquet
B10_7031141_초등학교,details/detail_part_000.parquet
B10_7031142_초등학교,details/detail_part_000.parquet
B10_7031143_초등학교,details/detail_part_000.parquet
B10_7031144_초등학교,details/detail_part_000.parquet
B10_7031145_초등학교,details/detail_part_000.parquet
B10_7031146_초등학교,details/detail_part_000.parquet
B10_7031147_초등학교,details/detail_part_000.parquet
B10_7031148_초등학교,details/detail_part_000.parquet
B10_7031149_초등학교,details/detail_part_000.parquet
B10_7031150_초등학교,details/detail_part_000.parquet
B10_7031151_초등학교,details/detail_part_000.parquet
B10_7031152_초등학교,details/detail_part_000.parquet
B10_7031153_초등학교,details/detail_part_000.parquet
B10_7031154_초등학교,details/detail_part_000.parquet
B10_7031155_초등학교,details/detail_part_000.parquet
B10_7031156_초등학교,details/detail_part_000.parquet
B10_7031157_초등학교,details/detail_part_000.parquet
B10_7031158_초등학교,details/detail_part_000.parquet
B10_7031159_초등학교,details/detail_part_000.parquet
B10_7031160_초등학교,details/detail_part_000.parquet
B10_7031161_초등학교,details/detail_part_000.parquet
B10_7031162_초등학교,details/detail_part_000.parquet
